lat[i],lon[i],miejsce,temperatura,zachmurzenie,predkosc_wiatru
54.81328657,17.87542854,Choczewo,21.959999,41,0.600000
54.81328657,18.17542854,Minkowice,18.280001,44,2.560000
54.51328657,16.67542854,Ustka,13.630000,12,3.790000
54.51328657,16.97542854,Słupsk,21.790001,11,1.940000
54.51328657,17.27542854,Damnica,21.540001,56,0.870000
54.51328657,17.57542854,Gmina Potęgowo,21.950001,67,2.240000
54.51328657,17.87542854,Linia,20.750000,91,1.470000
54.51328657,18.17542854,Szemud,20.049999,91,1.910000
54.51328657,18.47542854,Gdynia,19.420000,0,3.090000
54.21328657,15.77542854,Ustronie Morskie,12.260000,29,3.870000
54.21328657,16.07542854,Dobre,14.030000,28,3.440000
54.21328657,16.37542854,Gmina Sianów,21.120001,44,1.530000
54.21328657,16.67542854,Polanów,23.299999,52,1.210000
54.21328657,16.97542854,Kępice,21.290001,40,2.010000
54.21328657,17.27542854,Kołczygłowy,21.299999,52,2.000000
54.21328657,17.57542854,Parchowo,20.950001,71,2.220000
54.21328657,17.87542854,Gmina Stężyca,19.770000,79,2.390000
54.21328657,18.17542854,Grabowo Kościerskie,19.200001,94,1.340000
54.21328657,18.47542854,Kolbudy,20.360001,0,3.090000
54.21328657,18.77542854,Suchy Dąb,22.200001,60,1.430000
54.21328657,19.07542854,Nowy Dwór Gdański,22.230000,100,1.740000
54.21328657,19.37542854,Elblag,22.250000,92,2.100000
54.21328657,19.67542854,Młynary,22.860001,95,2.760000
54.21328657,19.97542854,Powiat braniewski,22.350000,79,3.150000
54.21328657,20.27542854,Pieniężno,17.360001,96,3.310000
54.21328657,20.57542854,Lidzbark Warmiński,17.440001,100,2.710000
54.21328657,20.87542854,Bartoszyce,17.690001,100,2.730000
54.21328657,21.17542854,Korsze,20.000000,100,3.320000
54.21328657,21.47542854,Srokowo,20.080000,100,4.290000
54.21328657,21.77542854,Powiat węgorzewski,20.070000,100,5.050000
54.21328657,22.07542854,Banie Mazurskie,20.040001,100,4.540000
54.21328657,22.37542854,Kowale Oleckie,19.440001,100,4.560000
54.21328657,22.67542854,Filipów,19.740000,100,3.960000
54.21328657,22.97542854,Suwałki,20.150000,100,3.100000
54.21328657,23.27542854,Puńsk,20.500000,100,2.340000
53.91328657,14.57542854,Kodrąb,20.680000,77,3.540000
53.91328657,14.87542854,Świerzno,24.209999,28,2.790000
53.91328657,15.17542854,Gryfice,24.139999,11,1.750000
53.91328657,15.47542854,Rymań,23.260000,12,0.770000
53.91328657,15.77542854,Sławoborze,23.230000,7,1.670000
53.91328657,16.07542854,Powiat białogardzki,23.240000,10,2.540000
53.91328657,16.37542854,Tychowo,24.450001,47,2.040000
53.91328657,16.67542854,Bobolice,23.570000,60,1.660000
53.91328657,16.97542854,Koczała,23.770000,45,2.150000
53.91328657,17.27542854,Lipnica,23.889999,59,3.070000
53.91328657,17.57542854,Brusy,23.670000,69,3.240000
53.91328657,17.87542854,Gmina Karsin,19.889999,70,3.270000
53.91328657,18.17542854,Kaliska,22.360001,88,2.930000
53.91328657,18.47542854,Powiat starogardzki,22.340000,95,2.810000
53.91328657,18.77542854,Powiat tczewski,22.900000,73,3.870000
53.91328657,19.07542854,Sztum,22.860001,60,5.250000
53.91328657,19.37542854,Dzierzgoń,23.180000,76,5.740000
53.91328657,19.67542854,Małdyty,22.639999,92,5.180000
53.91328657,19.97542854,Morąg,22.600000,94,5.450000
53.91328657,20.27542854,Jonkowo,22.400000,100,5.000000
53.91328657,20.57542854,Dywity,21.500000,100,4.490000
53.91328657,20.87542854,Czerwonka,23.100000,100,4.820000
53.91328657,21.17542854,Mrągowo,21.230000,100,5.070000
53.91328657,21.47542854,Ryn,21.360001,100,4.720000
53.91328657,21.77542854,Powiat giżycki,25.010000,100,4.190000
53.91328657,22.07542854,Stare Juchy,24.680000,100,2.940000
53.91328657,22.37542854,Ełk,24.790001,100,2.290000
53.91328657,22.67542854,Raczki,21.030001,100,1.720000
53.91328657,22.97542854,Augustów,21.180000,100,1.120000
53.91328657,23.27542854,Powiat augustowski,21.059999,100,1.190000
53.61328657,14.57542854,Police,24.040001,53,3.480000
53.61328657,14.87542854,Powiat goleniowski,24.030001,0,1.030000
53.61328657,15.17542854,Gmina Nowogard,24.049999,0,1.030000
53.61328657,15.47542854,Radowo Małe,22.900000,30,2.420000
53.61328657,15.77542854,Gajewo,22.920000,6,0.450000
53.61328657,16.07542854,Złocieniec,22.660000,18,2.550000
53.61328657,16.37542854,Łubowo,22.620001,46,3.140000
53.61328657,16.67542854,Szczecinek,24.730000,62,3.230000
53.61328657,16.97542854,Czarne,24.469999,80,3.770000
53.61328657,17.27542854,Człuchów,23.709999,79,3.950000
53.61328657,17.57542854,Chojnice,23.680000,79,3.780000
53.61328657,17.87542854,Tuchola,23.870001,71,3.800000
