id,row_index,col_index,latitude,longitude
1,0,0,54.78731805,13.78246553
2,1,0,54.08731805,13.78246553
3,2,0,53.38731805,13.78246553
4,3,0,52.68731805,13.78246553
5,4,0,51.98731805,13.78246553
6,5,0,51.28731805,13.78246553
7,6,0,50.58731805,13.78246553
8,7,0,49.88731805,13.78246553
9,8,0,49.18731805,13.78246553
10,0,1,54.78731805,14.53246553
11,1,1,54.08731805,14.53246553
12,2,1,53.38731805,14.53246553
13,3,1,52.68731805,14.53246553
14,4,1,51.98731805,14.53246553
15,5,1,51.28731805,14.53246553
16,6,1,50.58731805,14.53246553
17,7,1,49.88731805,14.53246553
18,8,1,49.18731805,14.53246553
19,0,2,54.78731805,15.28246553
20,1,2,54.08731805,15.28246553
21,2,2,53.38731805,15.28246553
22,3,2,52.68731805,15.28246553
23,4,2,51.98731805,15.28246553
24,5,2,51.28731805,15.28246553
25,6,2,50.58731805,15.28246553
26,7,2,49.88731805,15.28246553
27,8,2,49.18731805,15.28246553
28,0,3,54.78731805,16.03246553
29,1,3,54.08731805,16.03246553
30,2,3,53.38731805,16.03246553
31,3,3,52.68731805,16.03246553
32,4,3,51.98731805,16.03246553
33,5,3,51.28731805,16.03246553
34,6,3,50.58731805,16.03246553
35,7,3,49.88731805,16.03246553
36,8,3,49.18731805,16.03246553
37,0,4,54.78731805,16.78246553
38,1,4,54.08731805,16.78246553
39,2,4,53.38731805,16.78246553
40,3,4,52.68731805,16.78246553
41,4,4,51.98731805,16.78246553
42,5,4,51.28731805,16.78246553
43,6,4,50.58731805,16.78246553
44,7,4,49.88731805,16.78246553
45,8,4,49.18731805,16.78246553
46,0,5,54.78731805,17.53246553
47,1,5,54.08731805,17.53246553
48,2,5,53.38731805,17.53246553
49,3,5,52.68731805,17.53246553
50,4,5,51.98731805,17.53246553
51,5,5,51.28731805,17.53246553
52,6,5,50.58731805,17.53246553
53,7,5,49.88731805,17.53246553
54,8,5,49.18731805,17.53246553
55,0,6,54.78731805,18.28246553
56,1,6,54.08731805,18.28246553
57,2,6,53.38731805,18.28246553
58,3,6,52.68731805,18.28246553
59,4,6,51.98731805,18.28246553
60,5,6,51.28731805,18.28246553
61,6,6,50.58731805,18.28246553
62,7,6,49.88731805,18.28246553
63,8,6,49.18731805,18.28246553
64,0,7,54.78731805,19.03246553
65,1,7,54.08731805,19.03246553
66,2,7,53.38731805,19.03246553
67,3,7,52.68731805,19.03246553
68,4,7,51.98731805,19.03246553
69,5,7,51.28731805,19.03246553
70,6,7,50.58731805,19.03246553
71,7,7,49.88731805,19.03246553
72,8,7,49.18731805,19.03246553
73,0,8,54.78731805,19.78246553
74,1,8,54.08731805,19.78246553
75,2,8,53.38731805,19.78246553
76,3,8,52.68731805,19.78246553
77,4,8,51.98731805,19.78246553
78,5,8,51.28731805,19.78246553
79,6,8,50.58731805,19.78246553
80,7,8,49.88731805,19.78246553
81,8,8,49.18731805,19.78246553
82,0,9,54.78731805,20.53246553
83,1,9,54.08731805,20.53246553
84,2,9,53.38731805,20.53246553
85,3,9,52.68731805,20.53246553
86,4,9,51.98731805,20.53246553
87,5,9,51.28731805,20.53246553
88,6,9,50.58731805,20.53246553
89,7,9,49.88731805,20.53246553
90,8,9,49.18731805,20.53246553
91,0,10,54.78731805,21.28246553
92,1,10,54.08731805,21.28246553
93,2,10,53.38731805,21.28246553
94,3,10,52.68731805,21.28246553
95,4,10,51.98731805,21.28246553
96,5,10,51.28731805,21.28246553
97,6,10,50.58731805,21.28246553
98,7,10,49.88731805,21.28246553
99,8,10,49.18731805,21.28246553
100,0,11,54.78731805,22.03246553
101,1,11,54.08731805,22.03246553
102,2,11,53.38731805,22.03246553
103,3,11,52.68731805,22.03246553
104,4,11,51.98731805,22.03246553
105,5,11,51.28731805,22.03246553
106,6,11,50.58731805,22.03246553
107,7,11,49.88731805,22.03246553
108,8,11,49.18731805,22.03246553
109,0,12,54.78731805,22.78246553
110,1,12,54.08731805,22.78246553
111,2,12,53.38731805,22.78246553
112,3,12,52.68731805,22.78246553
113,4,12,51.98731805,22.78246553
114,5,12,51.28731805,22.78246553
115,6,12,50.58731805,22.78246553
116,7,12,49.88731805,22.78246553
117,8,12,49.18731805,22.78246553
118,0,13,54.78731805,23.53246553
119,1,13,54.08731805,23.53246553
120,2,13,53.38731805,23.53246553
121,3,13,52.68731805,23.53246553
122,4,13,51.98731805,23.53246553
123,5,13,51.28731805,23.53246553
124,6,13,50.58731805,23.53246553
125,7,13,49.88731805,23.53246553
126,8,13,49.18731805,23.53246553
127,0,14,54.78731805,24.28246553
128,1,14,54.08731805,24.28246553
129,2,14,53.38731805,24.28246553
130,3,14,52.68731805,24.28246553
131,4,14,51.98731805,24.28246553
132,5,14,51.28731805,24.28246553
133,6,14,50.58731805,24.28246553
134,7,14,49.88731805,24.28246553
135,8,14,49.18731805,24.28246553
